City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
339,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
343,Luganville,VU,86.85,broken clouds,-15.5333,167.1667,The Espiritu Hotel
347,Zhuhai,CN,87.01,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
348,Dubbo,AU,75.2,broken clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
349,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Siesta Hotel
361,Mount Isa,AU,87.8,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
363,Carnarvon,AU,86.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
370,Cockburn Town,TC,77.59,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
371,Georgetown,MY,89.01,few clouds,5.4112,100.3354,Cititel Penang
375,Kapaa,US,78.8,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
379,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
391,Nishihara,JP,77.0,broken clouds,26.1842,127.7558,Minshuku Agaihama
396,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
397,Cabo San Lucas,MX,80.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
406,Mount Gambier,AU,87.8,clear sky,-37.8333,140.7667,Commodore on the Park
408,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
415,Kavieng,PG,84.45,light rain,-2.5744,150.7967,Nusa Island Retreat
417,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
432,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
434,Isangel,VU,82.4,very heavy rain,-19.55,169.2667,Volcano Sea View Tree House
437,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
439,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
442,Ayorou,NE,75.88,clear sky,14.7308,0.9174,Hotel Amenokal
457,Leo,BF,77.05,clear sky,11.1,-2.1,Hotel Sissilis
459,Bengkulu,ID,81.07,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
464,Victoria,HK,86.0,scattered clouds,22.2855,114.1577,Mini Hotel Central
471,Dingle,PH,85.8,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
473,Faanui,PF,82.63,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
478,Dingle,PH,85.8,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
490,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
491,Saint-Philippe,RE,77.0,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
492,Bambous Virieux,MU,75.2,light rain,-20.3428,57.7575,Casa Tia Villa
496,Hithadhoo,MV,83.84,broken clouds,-0.6,73.0833,Scoop Guest House
508,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
514,San Cristobal,VE,78.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
516,Arraial Do Cabo,BR,75.97,few clouds,-22.9661,-42.0278,Pousada Porto Praia
522,Nelson Bay,AU,75.2,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
526,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
529,Pochutla,MX,82.0,few clouds,15.7432,-96.4661,Hotel Posada San Jose
541,Kapaa,US,78.8,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
542,Emerald,AU,81.0,broken clouds,-23.5333,148.1667,The Irish Village
544,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
545,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
548,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
555,Kattivakkam,IN,86.0,haze,13.2167,80.3167,Raj's villa
556,Rantepao,ID,79.41,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
583,Auki,SB,84.74,scattered clouds,-8.7676,160.7034,Auki Motel
587,Carnarvon,AU,86.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
588,Razole,IN,84.2,mist,16.4833,81.8333,Sterling Palavelli Godavari
592,Butaritari,KI,82.27,light rain,3.0707,172.7902,Isles Sunset Lodge
594,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
609,Monrovia,LR,78.73,scattered clouds,6.3005,-10.7969,Sunset Inn
610,Bosaso,SO,79.16,few clouds,11.2842,49.1816,Red Sea Hotel
612,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
618,Butaritari,KI,82.27,light rain,3.0707,172.7902,Isles Sunset Lodge
620,Kassala,SD,77.18,broken clouds,15.450999999999999,36.4,Amassi Hotel Gash
624,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
625,Namatanai,PG,86.85,scattered clouds,-3.6667,152.4333,Namatanai Hotel
630,Carnarvon,AU,86.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
638,Butaritari,KI,82.27,light rain,3.0707,172.7902,Isles Sunset Lodge
643,Port Blair,IN,78.64,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
647,Palu,ID,89.17,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
652,San Jose,US,75.2,clear sky,37.3394,-121.895,The Westin San Jose
653,Geraldton,AU,82.4,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
657,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
664,Kalmunai,LK,81.99,broken clouds,7.4167,81.8167,VS Villa
668,Kavieng,PG,84.96,light rain,-2.5744,150.7967,Nusa Island Retreat
670,Sorong,ID,84.4,broken clouds,-0.8833,131.25,The Waigo Hotel
674,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
676,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
677,Hambantota,LK,78.8,scattered clouds,6.1241,81.1185,Bungalow 63
686,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
687,Tezu,IN,81.21,overcast clouds,27.9167,96.1667,Circuit House
