City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Mundo Nuevo,MX,2021-03-28 20:18:21,18.7,-95.5,82.38,68,82,11.07
67,Terrace,CA,2021-03-28 20:16:39,54.5163,-128.6035,39.2,70,75,6.91
68,Ojinaga,MX,2021-03-28 20:14:00,29.5667,-104.4167,75.2,16,1,11.5
69,Matara,LK,2021-03-28 20:18:22,5.9485,80.5353,75.65,83,100,6.69
70,Vaini,TO,2021-03-28 20:18:22,-21.2,-175.2,80.6,89,40,10.36
71,Pombia,IT,2021-03-28 20:18:22,45.653,8.6336,54.0,66,0,2.3
72,Hobart,AU,2021-03-28 20:18:23,-42.8794,147.3294,53.6,43,20,17.27
73,Port Macquarie,AU,2021-03-28 20:18:23,-31.4333,152.9167,63.0,99,19,5.14
74,High Prairie,CA,2021-03-28 20:18:23,55.4334,-116.4858,35.6,75,100,13.8
75,Tuatapere,NZ,2021-03-28 20:18:23,-46.1333,167.6833,54.0,98,96,1.01
76,Bethel,US,2021-03-28 20:18:23,41.3712,-73.414,54.0,97,100,11.43
77,Kavieng,PG,2021-03-28 20:18:24,-2.5744,150.7967,82.63,75,92,14.14
78,Richards Bay,ZA,2021-03-28 20:18:24,-28.783,32.0377,69.4,73,98,6.35
79,Kisanga,TZ,2021-03-28 20:18:24,-7.4362,37.7034,75.31,83,94,1.63
80,Trinidad,BO,2021-03-28 20:14:58,-14.8333,-64.9,77.0,83,75,6.91
81,Ostersund,SE,2021-03-28 20:18:25,63.1792,14.6357,34.0,100,90,14.97
82,Korla,CN,2021-03-28 20:17:14,41.7597,86.1469,57.47,40,99,7.58
83,Walvis Bay,NA,2021-03-28 20:18:25,-22.9575,14.5053,61.0,94,0,5.75
84,Tasiilaq,GL,2021-03-28 20:18:25,65.6145,-37.6368,19.4,53,16,5.75
85,Camacha,PT,2021-03-28 20:18:25,33.0833,-16.3333,62.6,82,20,8.05
86,Sheridan,US,2021-03-28 20:16:43,44.8333,-106.9173,69.8,13,1,13.8
87,Vila Do Maio,CV,2021-03-28 20:18:26,15.1333,-23.2167,69.8,68,40,23.02
88,Bambous Virieux,MU,2021-03-28 20:18:26,-20.3428,57.7575,78.01,94,20,1.14
89,Derzhavinsk,KZ,2021-03-28 20:18:26,51.1,66.3167,12.13,95,20,8.57
90,San Jose,US,2021-03-28 20:16:00,37.3394,-121.895,79.0,28,1,4.61
91,Upernavik,GL,2021-03-28 20:18:26,72.7868,-56.1549,-17.7,80,24,2.44
92,Saint-Philippe,RE,2021-03-28 20:18:27,-21.3585,55.7679,77.0,83,0,6.91
93,Aras,ES,2021-03-28 20:18:27,42.5617,-2.356,57.2,51,0,4.61
94,Damghan,IR,2021-03-28 20:18:27,36.1683,54.348,40.17,39,0,0.85
95,Albany,US,2021-03-28 20:15:43,42.6001,-73.9662,52.0,87,100,9.06
96,Voi,KE,2021-03-28 20:16:03,-3.3945,38.563,70.41,88,100,3.65
97,Tuktoyaktuk,CA,2021-03-28 20:18:28,69.4541,-133.0374,-14.8,76,90,13.8
98,Altay,CN,2021-03-28 20:18:28,47.8667,88.1167,37.71,96,100,0.4
99,Port Alfred,ZA,2021-03-28 20:18:28,-33.5906,26.891,65.84,73,100,19.24
100,Najran,SA,2021-03-28 20:18:28,17.4924,44.1277,75.2,25,0,6.91
101,Awbari,LY,2021-03-28 20:18:29,26.5921,12.7805,62.2,19,0,9.13
102,Tres Barras,BR,2021-03-28 20:18:29,-26.1064,-50.3222,76.26,71,77,2.98
103,Hermanus,ZA,2021-03-28 20:18:29,-34.4187,19.2345,66.99,71,100,1.01
104,Chon Daen,TH,2021-03-28 20:18:29,16.1895,100.8596,82.62,56,71,3.36
105,Atasu,KZ,2021-03-28 20:18:30,48.6814,71.6433,27.91,92,100,8.43
106,Iberia,US,2021-03-28 20:18:30,29.9502,-91.7507,69.8,60,40,16.11
107,Oussouye,SN,2021-03-28 20:18:30,12.485,-16.5469,78.8,65,0,6.91
108,Tieling,CN,2021-03-28 20:18:30,42.2931,123.8414,41.43,42,4,12.48
109,Okahandja,NA,2021-03-28 20:17:31,-21.9833,16.9167,71.01,32,73,3.44
110,Torbay,CA,2021-03-28 20:18:31,47.6666,-52.7314,28.0,68,75,5.75
111,Nizhniy Tsasuchey,RU,2021-03-28 20:18:31,50.5167,115.1333,23.13,72,0,10.33
112,Hami,CN,2021-03-28 20:18:31,42.8,93.45,58.33,25,61,9.69
113,Puerto Narino,CO,2021-03-28 20:18:32,-3.7703,-70.3831,77.0,100,75,3.44
114,Ponta Delgada,PT,2021-03-28 20:18:32,37.7333,-25.6667,59.0,77,75,9.22
115,Arak,IR,2021-03-28 20:17:35,34.0917,49.6892,43.59,29,0,1.81
116,Grindavik,IS,2021-03-28 20:18:32,63.8424,-22.4338,32.0,86,75,6.91
117,Sao Filipe,CV,2021-03-28 20:18:32,14.8961,-24.4956,69.66,73,25,16.2
118,Saint George,US,2021-03-28 20:15:11,37.1041,-113.5841,71.01,24,1,4.61
