,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
123,Medyn,54.9692,35.8586,37.4,100,100,4.47,RU,light rain
124,Hermanus,-34.4187,19.2345,60.01,83,100,1.01,ZA,overcast clouds
125,Castro,-24.7911,-50.0119,52.43,93,0,6.35,BR,clear sky
126,Abu Samrah,35.3029,37.1841,46.63,83,6,9.01,SY,clear sky
127,Avarua,-21.2078,-159.775,84.2,70,40,13.8,CK,scattered clouds
128,Plettenberg Bay,-34.0527,23.3716,58.41,86,86,2.98,ZA,overcast clouds
129,Jamestown,42.097,-79.2353,25.0,68,90,11.5,US,light snow
130,Meulaboh,4.1363,96.1285,78.13,73,99,6.2,ID,overcast clouds
131,Manoel Urbano,-8.8389,-69.2597,72.88,98,100,0.85,BR,overcast clouds
132,Bethel,41.3712,-73.414,37.0,71,21,4.0,US,few clouds
133,Ushuaia,-54.8,-68.3,48.2,71,20,5.75,AR,few clouds
134,Hithadhoo,-0.6,73.0833,83.64,76,72,18.05,MV,broken clouds
135,Flinders,-34.5833,150.8552,78.01,64,18,5.01,AU,few clouds
136,Butaritari,3.0707,172.7902,82.2,77,100,11.52,KI,light rain
137,Volterra,43.4003,10.86,46.99,81,0,5.99,IT,clear sky
138,Torbay,47.6666,-52.7314,34.0,69,20,5.75,CA,few clouds
139,Bahia Honda,22.9036,-83.1592,75.56,76,56,14.18,CU,broken clouds
140,Harper,4.375,-7.7169,78.31,89,68,5.88,LR,broken clouds
141,Chuy,-33.6971,-53.4616,65.14,65,68,6.24,UY,broken clouds
142,Rikitea,-23.1203,-134.9692,72.1,89,100,4.59,PF,moderate rain
143,Fort-Shevchenko,44.5086,50.263,48.85,36,4,23.73,KZ,clear sky
144,Erzin,36.9559,36.2,50.0,89,91,4.9,TR,overcast clouds
145,Ternate,0.8,127.4,84.27,73,100,5.79,ID,overcast clouds
146,Bud,39.447,-86.1758,30.99,69,5,8.55,US,clear sky
147,Krasnoselkup,65.7,82.4667,13.05,93,100,17.83,RU,light snow
148,Rikitea,-23.1203,-134.9692,72.1,89,100,4.59,PF,moderate rain
149,Iqaluit,63.7506,-68.5145,-18.4,69,1,4.25,CA,clear sky
150,Jamestown,42.097,-79.2353,25.0,68,90,11.5,US,light snow
151,Hithadhoo,-0.6,73.0833,83.64,76,72,18.05,MV,broken clouds
152,Souillac,-20.5167,57.5167,75.2,100,75,1.14,MU,light rain
153,Jamestown,42.097,-79.2353,25.0,68,90,11.5,US,light snow
154,Tuktoyaktuk,69.4541,-133.0374,-13.0,77,75,11.5,CA,broken clouds
155,Ilulissat,69.2167,-51.1,21.2,86,90,13.8,GL,snow
156,Lebu,-37.6167,-73.65,55.96,90,29,13.06,CL,scattered clouds
157,Albany,42.6001,-73.9662,33.01,55,57,1.01,US,broken clouds
158,Oxford,51.7522,-1.256,41.0,75,90,10.36,GB,overcast clouds
159,Ushuaia,-54.8,-68.3,48.2,71,20,5.75,AR,few clouds
160,Albany,42.6001,-73.9662,33.01,55,57,1.01,US,broken clouds
161,Dikson,73.5069,80.5464,-7.42,79,100,7.47,RU,overcast clouds
162,Qaanaaq,77.484,-69.3632,5.92,96,100,2.71,GL,overcast clouds
163,Luderitz,-26.6481,15.1594,67.86,63,0,10.6,NA,clear sky
164,Sokolo,14.7328,-6.1219,81.27,9,21,9.66,ML,few clouds
165,Hermanus,-34.4187,19.2345,61.0,83,100,8.32,ZA,overcast clouds
166,Karratha,-20.7377,116.8463,90.79,34,6,6.46,AU,clear sky
167,Jamestown,42.097,-79.2353,25.0,68,90,11.5,US,light snow
