City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
82,Castro,BR,2021-03-28 19:24:26,-24.7911,-50.0119,73.31,80,100,5.95
83,Bredasdorp,ZA,2021-03-28 19:22:24,-34.5322,20.0403,62.6,82,100,13.8
84,Caravelas,BR,2021-03-28 19:24:26,-17.7125,-39.2481,83.93,61,0,9.73
85,Sitka,US,2021-03-28 19:24:26,57.0531,-135.33,37.4,65,40,13.8
86,Esperance,AU,2021-03-28 19:24:26,-33.8667,121.9,59.0,94,40,5.75
87,Tasiilaq,GL,2021-03-28 19:22:21,65.6145,-37.6368,19.4,53,20,9.22
88,Sobolevo,RU,2021-03-28 19:24:27,54.4299,31.8996,35.11,93,96,8.5
89,Ambon,ID,2021-03-28 19:24:27,-3.6954,128.1814,75.2,94,40,6.91
90,Ostrovnoy,RU,2021-03-28 19:24:27,68.0531,39.5131,35.26,98,100,14.45
91,Berlevag,NO,2021-03-28 19:20:42,70.8578,29.0864,33.8,75,0,16.11
92,Bayonet Point,US,2021-03-28 19:24:28,28.3267,-82.6834,88.0,67,77,3.0
93,Atuona,PF,2021-03-28 19:24:28,-9.8,-139.0333,81.14,72,100,17.98
94,Tanda,IN,2021-03-28 19:24:28,26.55,82.65,78.22,12,0,1.48
95,Khudumelapye,BW,2021-03-28 19:24:28,-23.8833,24.75,77.74,32,100,8.12
96,Coahuayana,MX,2021-03-28 19:20:21,18.7333,-103.6833,82.4,39,40,11.5
97,Roseburg,US,2021-03-28 19:21:30,43.2165,-123.3417,61.0,58,1,3.44
98,Acarau,BR,2021-03-28 19:24:29,-2.8856,-40.12,81.7,73,33,8.12
99,Ponta Do Sol,PT,2021-03-28 19:24:29,32.6667,-17.1,64.4,77,20,10.36
100,Nikolskoye,RU,2021-03-28 19:24:29,59.7035,30.7861,41.0,87,90,2.24
101,Tabou,CI,2021-03-28 19:22:21,4.423,-7.3528,79.72,83,1,5.64
102,Cherskiy,RU,2021-03-28 19:24:30,68.75,161.3,-9.71,92,100,0.31
103,Aklavik,CA,2021-03-28 19:21:25,68.2191,-135.0107,-5.8,54,20,5.75
104,Lompoc,US,2021-03-28 19:24:30,34.6391,-120.4579,75.99,43,0,6.91
105,Qeshm,IR,2021-03-28 19:24:30,26.9581,56.2719,77.0,78,100,6.91
106,Yenagoa,NG,2021-03-28 19:22:37,4.9247,6.2642,81.23,74,2,7.58
107,Itoman,JP,2021-03-28 19:24:30,26.1247,127.6694,71.6,100,75,4.61
108,Kapaa,US,2021-03-28 19:24:31,22.0752,-159.319,73.99,68,20,19.57
109,Nampa,US,2021-03-28 19:21:32,43.5407,-116.5635,69.01,27,1,5.75
110,Mitu,CO,2021-03-28 19:24:31,1.1983,-70.1733,70.7,98,100,2.82
111,Casino,AU,2021-03-28 19:24:31,-28.8667,153.05,62.6,94,0,5.75
112,Atar,MR,2021-03-28 19:24:31,20.5169,-13.0499,89.04,14,63,15.5
113,Lata,PT,2021-03-28 19:24:32,40.1629,-8.3327,68.0,52,0,6.91
114,Padang,ID,2021-03-28 19:22:42,-0.9492,100.3543,75.2,94,75,3.44
115,Rikitea,PF,2021-03-28 19:24:32,-23.1203,-134.9692,78.66,74,10,15.19
116,Ancud,CL,2021-03-28 19:24:32,-41.8697,-73.8203,68.0,60,20,17.27
117,Los Llanos De Aridane,ES,2021-03-28 19:21:03,28.6585,-17.9182,66.2,72,20,10.36
118,Majene,ID,2021-03-28 19:24:32,-3.5403,118.9707,77.68,84,100,3.6
119,Karpogory,RU,2021-03-28 19:24:33,64.0019,44.4451,30.94,92,95,8.63
120,Atasu,KZ,2021-03-28 19:20:57,48.6814,71.6433,28.18,92,100,8.77
121,Shiraz,IR,2021-03-28 19:24:33,29.6036,52.5388,64.4,15,0,4.61
122,Qaqortoq,GL,2021-03-28 19:24:33,60.7167,-46.0333,24.8,58,0,6.91
123,Butaritari,KI,2021-03-28 19:24:33,3.0707,172.7902,80.92,76,47,11.45
124,Tiksi,RU,2021-03-28 19:22:44,71.6872,128.8694,1.85,99,100,1.59
125,Muros,ES,2021-03-28 19:24:34,42.7762,-9.0603,62.6,45,0,4.61
126,Najran,SA,2021-03-28 19:24:34,17.4924,44.1277,77.0,23,0,11.5
127,Mazatlan,MX,2021-03-28 19:24:34,23.2167,-106.4167,80.6,41,75,4.61
128,Navalmoral De La Mata,ES,2021-03-28 19:24:35,39.8916,-5.5406,60.94,49,46,7.76
129,Waipawa,NZ,2021-03-28 19:24:35,-41.4122,175.5153,63.0,94,90,17.27
130,Georgetown,MY,2021-03-28 19:24:35,5.4112,100.3354,80.01,94,20,1.14
131,Belyy Yar,RU,2021-03-28 19:24:35,53.6039,91.3903,32.0,86,100,2.24
132,Morant Bay,JM,2021-03-28 19:24:36,17.8815,-76.4093,86.0,70,20,29.93
133,Ust-Tsilma,RU,2021-03-28 19:24:36,65.441,52.1498,33.4,97,100,6.73
134,Escanaba,US,2021-03-28 19:24:36,45.7453,-87.0646,32.0,74,90,13.8
135,Hilo,US,2021-03-28 19:24:36,19.7297,-155.09,68.0,88,90,6.91
136,Ketchikan,US,2021-03-28 19:24:37,55.3422,-131.6461,39.2,81,90,10.36
137,Nemuro,JP,2021-03-28 19:23:35,43.3236,145.575,41.49,95,100,39.19
138,San Cristobal,VE,2021-03-28 19:24:37,7.7669,-72.225,84.2,58,40,6.11
139,Channel-Port Aux Basques,CA,2021-03-28 19:24:37,47.5702,-59.1367,27.05,70,24,10.63
140,Ngunguru,NZ,2021-03-28 19:24:37,-35.6167,174.5,64.99,96,100,5.99
141,Rantepao,ID,2021-03-28 19:24:38,-2.9701,119.8978,67.62,98,100,0.89
142,Oloron-Sainte-Marie,FR,2021-03-28 19:24:38,43.1944,-0.6107,62.6,48,0,3.44
143,Bonthe,SL,2021-03-28 19:23:50,7.5264,-12.505,81.19,78,32,8.55
144,Floro,NO,2021-03-28 19:24:38,61.5996,5.0328,42.8,81,75,14.97
145,Khatanga,RU,2021-03-28 19:23:18,71.9667,102.5,-2.34,98,100,6.85
146,Faya,SA,2021-03-28 19:24:39,18.3851,42.4509,64.4,72,0,1.41
